customer_id,income,employment_status,age_band,debt_to_income,credit_history_length,existing_debt,missed_payments_12m,housing_status,region,digital_access_score,protected_group_proxy,loan_default
ECB-00000,12000.0,part_time,18-24,0.408,0.0,2670.0,1,mortgage,Cork,21.4,B,0
ECB-00001,35131.0,employed,35-49,0.356,2.5,10958.0,0,private_rent,Limerick,84.0,A,0
ECB-00002,18523.0,part_time,65+,0.402,17.5,3509.0,0,private_rent,Dublin,74.3,A,1
ECB-00003,49174.0,self_employed,50-64,0.17,4.2,8231.0,0,owner,Cork,100.0,A,0
ECB-00004,32714.0,employed,25-34,0.325,5.0,11676.0,0,owner,Cork,60.1,A,0
ECB-00005,13152.0,unemployed,18-24,0.448,5.0,2284.0,2,mortgage,Limerick,47.6,A,0
ECB-00006,23587.0,part_time,65+,0.204,8.7,1990.0,0,private_rent,Rural,76.5,A,0
ECB-00007,25462.0,part_time,65+,0.673,19.3,16782.0,0,private_rent,Rural,56.0,B,1
ECB-00008,36760.0,employed,35-49,0.254,2.0,9856.0,0,private_rent,Galway,83.7,A,0
ECB-00009,28917.0,employed,35-49,0.505,8.5,12683.0,1,mortgage,Galway,56.4,A,0
ECB-00010,43618.0,employed,35-49,0.284,4.6,8897.0,1,mortgage,Galway,67.9,B,0
ECB-00011,26385.0,unemployed,35-49,0.35,9.3,8910.0,1,private_rent,Galway,49.0,A,0
ECB-00012,49405.0,self_employed,25-34,0.144,5.9,4203.0,0,mortgage,Dublin,67.9,A,0
ECB-00013,21972.0,part_time,18-24,0.814,4.4,20452.0,0,private_rent,Limerick,61.7,A,0
ECB-00014,39705.0,employed,25-34,0.304,14.9,12427.0,0,owner,Limerick,100.0,B,0
ECB-00015,18531.0,employed,50-64,0.19,4.9,3725.0,0,mortgage,Cork,77.9,A,0
ECB-00016,43795.0,employed,25-34,0.525,4.9,23758.0,1,mortgage,Rural,29.3,A,0
ECB-00017,35048.0,employed,25-34,0.725,6.9,27867.0,2,mortgage,Galway,63.0,B,0
ECB-00018,18995.0,part_time,35-49,0.376,16.2,2869.0,1,private_rent,Cork,74.6,A,0
ECB-00019,29917.0,self_employed,25-34,0.428,8.0,13798.0,0,mortgage,Dublin,54.5,B,1
ECB-00020,24037.0,part_time,25-34,0.391,14.9,5156.0,0,social_rent,Dublin,48.2,A,0
ECB-00021,72883.0,employed,35-49,0.335,7.6,15576.0,1,social_rent,Cork,79.9,A,0
ECB-00022,26678.0,unemployed,35-49,0.183,14.7,3151.0,2,social_rent,Cork,50.7,A,1
ECB-00023,17136.0,part_time,35-49,0.35,10.6,3214.0,0,private_rent,Dublin,73.4,B,1
ECB-00024,22899.0,part_time,50-64,0.26,11.4,4171.0,0,private_rent,Dublin,49.2,A,0
ECB-00025,37359.0,employed,25-34,0.374,1.0,10546.0,1,private_rent,Dublin,58.4,A,0
ECB-00026,60412.0,employed,50-64,0.618,0.3,17515.0,0,mortgage,Limerick,80.2,B,0
ECB-00027,49785.0,employed,50-64,0.294,14.1,9323.0,2,mortgage,Limerick,76.8,A,0
ECB-00028,43756.0,employed,50-64,0.396,14.0,10884.0,0,private_rent,Cork,63.6,B,0
ECB-00029,59357.0,self_employed,35-49,0.348,21.1,18376.0,0,owner,Dublin,67.5,A,0
ECB-00030,22105.0,part_time,35-49,0.215,0.8,3877.0,1,owner,Dublin,69.6,A,0
ECB-00031,27135.0,unemployed,35-49,0.794,11.0,19872.0,1,social_rent,Dublin,48.8,B,1
ECB-00032,41934.0,employed,35-49,0.379,3.2,15524.0,0,owner,Cork,35.7,B,0
ECB-00033,31724.0,employed,18-24,0.129,0.6,3610.0,0,mortgage,Dublin,78.2,A,0
ECB-00034,37847.0,employed,65+,0.576,10.9,11847.0,1,private_rent,Dublin,74.5,B,0
ECB-00035,73058.0,employed,35-49,0.394,10.5,21648.0,0,owner,Rural,73.9,B,0
ECB-00036,34659.0,employed,50-64,0.608,5.0,15252.0,1,social_rent,Cork,67.6,B,1
ECB-00037,71489.0,employed,35-49,0.491,8.7,14355.0,0,owner,Rural,46.2,A,1
ECB-00038,35193.0,employed,18-24,0.264,8.8,9888.0,0,social_rent,Dublin,83.8,A,0
ECB-00039,33039.0,self_employed,35-49,0.427,14.4,5969.0,1,private_rent,Dublin,76.7,A,0
ECB-00040,62744.0,employed,35-49,0.319,12.1,22628.0,1,mortgage,Rural,81.7,A,0
ECB-00041,19510.0,part_time,35-49,0.591,10.8,4327.0,0,owner,Cork,86.6,A,0
ECB-00042,67518.0,self_employed,25-34,0.535,7.8,33753.0,0,mortgage,Galway,96.5,A,0
ECB-00043,54624.0,employed,25-34,0.297,5.5,9417.0,0,mortgage,Rural,47.9,A,0
ECB-00044,19513.0,part_time,35-49,0.381,11.3,7978.0,0,mortgage,Galway,44.8,A,0
ECB-00045,27996.0,part_time,35-49,0.563,3.0,15898.0,1,living_with_family,Dublin,70.7,A,0
ECB-00046,36426.0,employed,65+,0.576,14.1,7767.0,0,mortgage,Cork,35.4,A,0
ECB-00047,54559.0,employed,25-34,0.113,2.9,2261.0,1,social_rent,Dublin,48.3,A,0
ECB-00048,98140.0,self_employed,25-34,0.604,8.3,49387.0,0,owner,Dublin,85.0,B,0
ECB-00049,39466.0,employed,25-34,0.088,3.0,1638.0,0,living_with_family,Dublin,49.8,A,0
ECB-00050,59290.0,employed,35-49,0.304,6.4,6504.0,0,mortgage,Rural,67.8,A,0
ECB-00051,47146.0,employed,35-49,0.24,5.0,12746.0,2,mortgage,Galway,38.6,A,0
ECB-00052,29225.0,part_time,35-49,0.752,4.4,18812.0,1,private_rent,Dublin,69.1,A,1
ECB-00053,43289.0,self_employed,65+,0.585,13.0,9084.0,2,owner,Dublin,73.3,A,0
ECB-00054,28533.0,self_employed,25-34,0.124,0.0,2627.0,0,social_rent,Limerick,84.8,B,0
ECB-00055,33617.0,part_time,35-49,0.419,0.0,6704.0,1,mortgage,Rural,86.8,A,0
ECB-00056,40948.0,employed,18-24,0.164,8.7,6676.0,0,private_rent,Dublin,66.6,A,0
ECB-00057,31034.0,self_employed,25-34,0.268,9.3,3103.0,0,private_rent,Dublin,88.0,A,0
ECB-00058,66239.0,employed,35-49,0.639,4.7,27362.0,0,private_rent,Rural,70.7,B,0
ECB-00059,43879.0,employed,18-24,0.2,9.6,4745.0,0,owner,Rural,55.1,B,0
ECB-00060,37873.0,self_employed,35-49,0.555,5.2,23853.0,0,owner,Rural,69.9,B,0
