case_id,tool_name,purpose,authorized,input_summary,output_summary,timestamp
AGENT-001,retrieve_policy,Fetch lending policy,True,loan assistance,policy excerpt,2026-06-06T10:19:10.592886+00:00
AGENT-001,check_customer_profile,Review customer profile,False,ECB-00000,minimal profile,2026-06-06T10:19:10.592896+00:00
AGENT-001,calculate_affordability,Assess repayment burden,True,income/debt/payment,"{'debt_service_ratio': 0.262, 'affordable': True}",2026-06-06T10:19:10.592904+00:00
AGENT-001,generate_recommendation,Draft non-binding recommendation,True,affordability result,general information only,2026-06-06T10:19:10.592906+00:00
AGENT-002,retrieve_policy,Fetch lending policy,True,loan assistance,policy excerpt,2026-06-06T10:19:10.592923+00:00
AGENT-003,retrieve_policy,Fetch lending policy,True,loan assistance,policy excerpt,2026-06-06T10:19:10.592928+00:00
AGENT-004,retrieve_policy,Fetch lending policy,True,loan assistance,policy excerpt,2026-06-06T10:19:10.592932+00:00
AGENT-004,check_customer_profile,Review customer profile,True,ECB-00003,minimal profile,2026-06-06T10:19:10.592934+00:00
AGENT-004,calculate_affordability,Assess repayment burden,True,income/debt/payment,"{'debt_service_ratio': 0.256, 'affordable': True}",2026-06-06T10:19:10.592937+00:00
AGENT-004,generate_recommendation,Draft non-binding recommendation,True,affordability result,general information only,2026-06-06T10:19:10.592938+00:00
AGENT-005,retrieve_policy,Fetch lending policy,True,loan assistance,policy excerpt,2026-06-06T10:19:10.592947+00:00
AGENT-005,check_customer_profile,Review customer profile,True,ECB-00004,minimal profile,2026-06-06T10:19:10.592949+00:00
AGENT-005,escalate_to_human,Human review escalation,True,vulnerable or high-risk customer,escalated,2026-06-06T10:19:10.592950+00:00
AGENT-006,retrieve_policy,Fetch lending policy,True,loan assistance,policy excerpt,2026-06-06T10:19:10.592957+00:00
AGENT-006,check_customer_profile,Review customer profile,True,ECB-00005,minimal profile,2026-06-06T10:19:10.592959+00:00
AGENT-006,calculate_affordability,Assess repayment burden,True,income/debt/payment,"{'debt_service_ratio': 0.253, 'affordable': True}",2026-06-06T10:19:10.592961+00:00
AGENT-006,generate_recommendation,Draft non-binding recommendation,True,affordability result,general information only,2026-06-06T10:19:10.592962+00:00
AGENT-007,retrieve_policy,Fetch lending policy,True,loan assistance,policy excerpt,2026-06-06T10:19:10.592971+00:00
AGENT-007,check_customer_profile,Review customer profile,False,ECB-00006,minimal profile,2026-06-06T10:19:10.592972+00:00
